"paper_id","title","abstract","year","journal","doi","mag_field_of_study","has_pdf_parse","has_pdf_parsed_abstract","has_pdf_parsed_body_text","s2_url","group_name","sample_share","field_count","field_share","seed","n_articles"
"55849833","Upward only rent reviews versus indexation: an investigation into the impact of differing mechanisms upon market efficiency within the commercial real estate sector","The purpose of this study was to investigate whether the traditional, upward-only rent review clauses in English commercial leases can be replaced by rent indexation. Analysis of the existing literature found widespread criticism of upward-only rent reviews. Most importantly, they represent a disadvantage for tenants and an advantage for landlords. Contrary to this, analysis of the qualitative data, gathered through semi-structured interviews with professionals, showed that property market forces have shifted. This leaves tenants in a stronger negotiation position. A clear trend towards shorter leases and break options as opposed to rent review mechanisms. The evidence within the study suggests that the Codes of Leasing Practice have not had a significant impact on the flexibility of commercial leases. The findings of the study indicate that the Government should not legislate against upward-only rent reviews as this could have major negative impacts on the property market. Indexation was found to be a fair and reasonable option for both landlords and tenants. However, the exclusive use of indexation in commercial leases would lead to a distortion of the property market as the determination of market rents and values would be impossible. The principal conclusion of this dissertation was that the self-adjustment of the market, which led to a higher flexibility in commercial leases, made a restriction of upward-only rent reviews unnecessary. Moreover, rent indexation is a well-established rent review mechanism in England – a tool whereby both parties can benefit. An exclusive use of indexation in commercial leases though seems most unlikely.",2011,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:55849833","Business",0.1,2577,0.02729236830399695,21356,500
"169816487","Investing and trading in strategic resources for academic data services: A case study","While the meaning of “data” and its role in the research process has shifted numerous times over the past few decades, the role of the academic data librarian has remained focused on helping faculty and students access, use, and preserve all aspects of this distinctive class of information in support of the creation of new knowledge. At the same time, rapid advances in information technology, the explosive growth of digital data, and new methods of scholarly communication have collectively transformed data services in libraries, by impacting their operations, functions, and even their mission. Today, data librarianship is a field of knowledge that can require specific expertise in network technologies, information architecture, metadata, data structuring, text and data mining, data cleaning, manipulation, analysis and visualization, coding, data metrics, data management and data curation, data literacy and data ethics. As a consequence, library services related to research data continue to be a developing area where the responsibilities and practices of data librarianship within academic libraries are generally not yet firmly established. ::: This paper offers an overview of the strategic planning and establishment of research data services within a Canadian university campus library. The University of Toronto Scarborough (UTSC) Library is located on the eastern edge of the City of Toronto, one of three campuses that make up the larger University of Toronto system. Primarily an undergraduate community, students, faculty, and staff have access to library resources and services across all three campuses, including a centrally located Map and Data Library. The main challenges facing the UTSC Library are: 1. to develop high-quality research data services that would meet the current needs of faculty and students in alignment with the pre-existing services of the main campus Library; 2. to build awareness and use of these services; 3. to generate support, excitement, and engagement of librarians and staff within the UTSC Library; 4. to work with librarians and staff to build the knowledge and skills needed to ensure the scalability and sustainability of UTSC's data services; 5. to be flexible enough to respond to future development opportunities in an area that is continuously shifting and expanding. ::: The authors of this paper will describe the process of developing research data services at the UTSC Library, beginning from the creation (proposal stage) of a data librarian position, hiring and staffing, development of a mandate in alignment with the Library’s mission, to the first stages of implementation and assessment. We will discuss how these activities integrate into the wider context of the UTSC Library’s user services and functional departments, specifically the Digital Scholarship Unit (DSU) and the Liaison Librarian Program. Additionally, as one of three campuses which span the Greater Toronto Area, we will discuss the role of data services at a smaller, undergraduate campus in relation to University of Toronto Libraries main campus data services and, in particular, what distinct value and services a smaller-sized library data service can contribute to the research community, as well as future developments in the field of data librarianship.",2017,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:169816487","Business",0.1,2577,0.02729236830399695,21356,500
"166463354","Knowledge is Power: Consumer Education and the Subprime Mortgage Market","INTRODUCTION 634 I. AS TIME HAS PASSED, THE LEGITIMATE SUBPRIME MARKET HAS TAKEN ON CHARACTERISTICS OF THE PREDATORY MARKET, BLURRING THE DISTINCTION BETWEEN THE TWO 638 A. The Boom in Subprime Lending Led to the Birth of the Predatory Market 639 B. Characteristics of the Predatory Market Adopted by the Subprime Market 640 1. Lending without Considering Borrowers‘ Ability to Repay Will Likely Lead to Foreclosure 641 2. Financing Excessive Points and Fees Disguises the Cost of the Loan 642 3. Loan Flipping Strips Equity from the Borrower‘s Home 643 4. Hidden Prepayment Penalties Make it More Expensive for a Borrower to Refinance 644 5. Balloon Payments can be Used as Leverage to Deplete Borrowers‘ Equity 644 6. Negative Amortization Strips Equity Before it is Built 645 C. These Terms are the Most Abusive When Borrowers are ―Steered‖ into Accepting Them 645 D. Lack of Borrower Knowledge Further Blurs the Distinction Between Predatory and Subprime Loans ......... 646 II. CURRENT FEDERAL LEGISLATION HAS NOT BEEN ENOUGH TO PROTECT BORROWERS 647 A. The Truth in Lending Act 647 B. Home Ownership Equity Protection Act of 1994 648",2008,"Chapman Law Review",NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:166463354","Business",0.1,2577,0.02729236830399695,21356,500
"167296140","Value of travel time savings: peer review and audit","This report contains the findings of the audit and peer review of research on values of travel time savings and reliability. It covers: 1. the procedures adopted by the research team during data collection; 2. a peer review of the reported approach and implementation to data modelling; 3. an audit of the research team’s implementation tool that weighted the modelled parameters to give overall national value of travel time estimates for use in transport scheme appraisals.",2015,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:167296140","Business",0.1,2577,0.02729236830399695,21356,500
"168149990","Co‐creation and learning in health‐care service development","Purpose - The purpose of this study is to develop and evaluate a model for patient co-creation and learning based on diaries for use in health-care service development. In particular, the study aim ...",2012,"Journal of Service Management","10.1108/09564231211248435",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:168149990","Business",0.1,2577,0.02729236830399695,21356,500
"2831430","Privatized Returns and Socialized Risks: CEO Incentives, Securitization Accounting and the Financial Crisis","The paper investigates the role of CEO’s equity and risk incentives in boosting securitization in the financial industry and in motivating executives to reduce the perceived risk while betting on it. Using a sample of US financial institutions over the period 2003-2009 we document that CEOs with high equity incentives have systematically engaged in securitization transactions to a larger extent than CEOs with low incentives. We also show that CEOs with high equity and risk-related incentives have engaged in the securitization of risky loans and have used securitization for transferring risks to outside investors. Finally, we show that executives incentivized on risk have provided outside investors with low quality disclosure about losses recorded on securitized loans thus contributing to increase the opacity of securitization transactions undertaken. Overall, we interpret our results as evidence that CEOs have foreseen in securitizations under US GAAP an opportunity for hiding risks while bearing them and generating profits and cash flows because of the risks. Our results are robust to several model specifications as well as to endogeneity concerns.",2013,"SSRN Electronic Journal","10.2139/ssrn.2220958",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:2831430","Business",0.1,2577,0.02729236830399695,21356,500
"119276372","Optimal Contract with Moral Hazard for Public Private Partnerships","AbstractPublic–Private Partnership (PPP) is a contract between a public entity and a consortium, in which the public outsources the construction and the maintenance of an equipment (hospital, university, prison ...). One drawback of this contract is that the public may not be able to observe the effort of the consortium but only its impact on the social welfare of the project. We aim to characterize the optimal contract for a PPP in this setting of asymmetric information between the two parties. This leads to a stochastic control under partial information and it is also related to principal-agent problems with moral hazard. Considering a wider set of information for the public and using martingale arguments in the spirit of Sannikov, the optimization problem can be reduced to a standard stochastic control problem, that is solved numerically. We then prove that for the optimal contract, the effort of the consortium is explicitly characterized. In particular, it is shown that the optimal rent is not a linea...",2017,"arXiv: Optimization and Control","10.1080/17442508.2017.1303068",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:119276372","Business",0.1,2577,0.02729236830399695,21356,500
"166599806","THE ROLE AND THE NECESSITY OF A MANDATORY HOME INSURANCE","Home insurance became mandatory since 2008 and have been introduced as a social measure, given the low level of insurance premiums and sums insured. The role of a home insurance is to provide protection, financial support of personal goods.",2013,"Knowledge Horizons - Economics",NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:166599806","Business",0.1,2577,0.02729236830399695,21356,500
"168186886","Misbehavior and Mistake in Bankruptcy Mortgage Claims: Some Caveats Regarding the Porter Study","This Article reviews the comprehensive empirical study of the bankruptcy mortgage foreclosure process conducted by Professor Katherine Porter and subsequently published in 2008 in the Texas Law Review. The results of her study, which analyzed 1,768 proof of claim submissions filed in a sample of 1,733 Chapter 7 bankruptcy proceedings, strongly suggest that there is a pervasive failure on the part of mortgage creditors to meet all of the formal documentation requirements for filing such bankruptcy claims. This documentation failure arguably impedes many mortgage debtors or bankruptcy trustees from reviewing these claims for their accuracy.Porter's conclusion that the itemization statements included in even formally complete proof of claim filings are often confusing enough to prevent debtors and trustees from meaningfully evaluating their accuracy, however, is less well grounded. In addition, her data does not unambiguously support her conclusion that there is likely widespread and cumulatively significant overcharging of mortgage debtors being facilitated by these proof of claim documentation deficiencies. These data results are also consistent with more benign explanations of the pervasive discrepancies she identifies between creditors' and debtors' perceptions of the amounts owing. Porter's recommendations for reforms in the bankruptcy mortgage foreclosure process consequently cannot be properly assessed without further research establishing the extent of such creditor abuse.",2012,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:168186886","Business",0.1,2577,0.02729236830399695,21356,500
"129197982","Energy issues and sustainable development in Turkey","There is increasing consensus in both the scientific and political communities that significant reductions in greenhouse gas (GHG) emissions are necessary to limit the magnitude and extent of climate change. Renewable energy systems already reduce GHG emissions from the energy sector, although on a modest scale. Most long-term energy projections show that renewable energy will play a major role in the global energy supply in the second half of the century, with capacity increasing gradually in the first three decades. On the other hand, Turkey is heavily dependent on expensive imported energy resources (oil, gas and coal) that place a big burden on the economy and air pollution is becoming a great environmental concern in the country. In this regard, renewable energy resources appear to be the one of the most efficient and effective solutions for clean and sustainable energy development in Turkey. Turkey’s geographical location has several advantages for extensive use of most of these renewable energy sources. This article presents a review of the potential and utilization of the fossil fuels and the renewable energy sources in world and in Turkey.",2012,"The Journal of Engineering Research",NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:129197982","Business",0.1,2577,0.02729236830399695,21356,500
