"paper_id","title","abstract","year","journal","doi","mag_field_of_study","has_pdf_parse","has_pdf_parsed_abstract","has_pdf_parsed_body_text","s2_url","seed"
"9968425","Factors Influencing the Successful Completion of Laparoscopic Cholecystectomy","Objective: To analyze the preoperative factors contributing to the decision to convert laparoscopic to open cholecystectomy. Methods: Retrospective identification of 324 consecutive patients undergoing laparoscopic cholecystectomy, with univariate and multivariate analysis of the following parameters: age, gender, obesity, previous abdominal surgery, presentation with acute cholecystitis, pancreatitis or obstructive jaundice, gallbladder wall thickening, gallbladder or common bile duct stones. Results: Thirty-nine patients (12%) underwent conversion to open cholecystectomy. Patients aged over 65 years were four times more likely to require conversion than patients under 50 years of age. Under 50 years of age, males had equal conversion rates to females, and above this age there was a non-significant increased conversion rate in males. Obese patients had higher conversion rates than non-obese patients (23% versus 9%, P 0.003). Thirty-eight percent of patients with choledocholithiasis required conversion. Age, acute cholecystitis and choledocholithiasis independently predicted conversion. A patient aged less than fifty years with neither acute cholecystitis nor choledocholithiasis had a conversion rate of just 2%, while almost 60% of those over 65 years of age with acute cholecystitis or choledocholithiasis required conversion. Conclusion: The parameters of age, acute cholecystitis and choledocholithiasis must be considered in the clinical decision making process when planning laparoscopic cholecystectomy.",2009,"JSLS : Journal of the Society of Laparoendoscopic Surgeons","10.4293/108680809X1258998404560",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:9968425",21356
"204400480","Data sovereignty and the Cloud ? a structured bibliography","A structured bibliography is provided to assist research into the late-2013 status of cloud and data sovereignty (or ?digital protectionism?) policy discussions in Australia and elsewhere.",2013,"Australian Journal of Telecommunications and the Digital Economy","10.18080/jtde.v1n1.223",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:204400480",21356
"11979714","Endoscopic Strip Craniectomy in Early Infancy: The Initial Five Years of Anesthesia Experience","BACKGROUND: Minimally invasive endoscopic strip craniectomy (ESC) is a relatively new surgical technique for treating craniosynostosis in early infancy. In this study we reviewed our anesthesia experience with ESC. The hypothesis was that infants with low body weight and syndromes would have a higher risk of perioperative blood transfusion and that those with respiratory complications are more likely to be admitted to the intensive care unit (ICU). METHODS: We retrospectively reviewed patient charts and anesthesia records of the first 100 consecutive infants who underwent ESC between May 2004 and December 2008 and follow-up evaluations until December 2009. Outcomes included (a) perioperative blood transfusion, (b) venous air embolism (VAE), (c) ICU admission, and (d) reoperation with craniofacial reconstruction procedures. Multivariable logistic regression was used to determine significant factors of patient outcomes. RESULTS: Infants ranging from 4 to 34 weeks of age (weight: 3.2 to 10.1 kg), presented for 87 single and 13 multiple ESC. Four infants had a craniofacial syndrome. The mean surgical time was 48 minutes (range: 26 to 86 minutes). Ninety-two infants had a median estimated blood loss of 23 mL (interquartile ranges [IQR]: 15 to 30 mL). Eight infants who required blood transfusion received a median amount of 17.2 mL/kg (IQR: 10.1 to 21.2 mL/kg). Body weight ≤5 kg (P = 0.04), sagittal ESC (P < 0.01), syndromic craniosynostosis (P < 0.01), and earlier date of surgery in the series (P < 0.01) were factors associated with blood transfusion. VAE was detected in 2 infants with no changes in clinical outcome. Eight infants were admitted to the ICU. Factors associated with ICU admission were blood transfusion (P < 0.001) and respiratory complications (P < 0.001). Eighty-two infants were discharged on postoperative day 1 (range: 1 to 3 days). Six infants underwent subsequent fronto-orbital advancement and 1 cranial vault reconstruction. Multiple-suture craniosynostosis (P < 0.01), associated syndromes (P = 0.03), and ICU admission after ESC (P = 0.04) were predictive of reoperation. CONCLUSIONS: Twenty percent of infants undergoing ESC had 1 or more of the following: need for blood transfusion, VAE, respiratory complications, and ICU admission. Multivariable analysis confirmed that patients with lower body weight, those with earlier date of surgery in the series, those undergoing sagittal ESC, and those with syndromic craniosynostosis had a higher rate of blood transfusion. ICU admissions often occurred in infants requiring transfusion and those with respiratory complications. Infants with multiple-suture craniosynostosis were more likely to require subsequent craniofacial reconstruction procedures.",2011,"Anesthesia and analgesia","10.1213/ANE.0b013e31820471e4",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:11979714",21356
"71149061","Simultaneous Stabilization and Tracking of Nonholonomic WMRs With Input Constraints: Controller Design and Experimental Validation","Considering input constraints and parameter uncertainty of the nonholonomic wheeled mobile robots, a new control law has been designed in this paper to solve the tracking and stabilization control problems simultaneously. The asymptotic convergence of the stabilization or tracking errors is achieved by a smooth controller with time-varying feedback parameters subject to set conditions. A geometric-based parameter design strategy is employed to overcome the difficulties resulting from input constraints. With the parameter design strategy, the designed parameters satisfy the set conditions and the control inputs stay in the constrained domain. Experimental studies have been conducted to verify the effectiveness of the proposed control law.",2019,"IEEE Transactions on Industrial Electronics","10.1109/TIE.2018.2870350",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:71149061",21356
"46237339","Ultrasonographic measurement of cervical length in predicting mode of delivery after oxytocin induction.","This study was conducted to explore the value of transvaginal ultrasonographic cervical length measurement, in addition to gestational age, maternal age, parity, Bishop score, and weight of the newborn, in predicting the mode of delivery in pregnancies in which labor is induced with oxytocin at or beyond the 40th gestational week. A total of 73 pregnancies at 40 to 42 weeks of gestation were included. After labor was induced, 29 women delivered vaginally and 44 underwent cesarean section. These groups were compared with respect to possible predictive parameters of delivery outcomes. Studentt test, Pearson’s correlation analysis, and logistic regression analysis were used for statistical evaluation. Mean preinduction cervical length was 26.8±9.9 mm in the vaginal delivery group and 34.2±8.1 mm in the cesarean section group (P < .05). Mean maternal age, parity, and Bishop score were significantly higher and mean weight of the newborn was significantly lower in the vaginal delivery group. Cervical length measurements showed a significant negative correlation with Bishop scores (r=−.584;P < .05). Logistic regression analysis revealed that Bishop score (likelihood ratio=.472; 95% confidence interval=.338–.658;P < .05) and weight of the newborn (likelihood ratio=1.002; 95% confidence interval=1 .00007–1.003;P < .05) were significant independent predictors of the route of delivery. According to the results of this study, maternal age, parity, Bishop score, cervical length, and weight of the newborn all might affect the mode of delivery after labor induction. Bishop score, although a subjective measure, must be considered an important component of preinduction evaluation.",2007,"Advances in therapy","10.1007/BF02849968",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:46237339",21356
"7375666","Robust adaptive path following for a nonlinear third order Nomoto's ship model","In this paper, an adaptive backstepping method is used for a ship course tracking control. This has been done by applying a reference signal derived from a LOS algorithm. The ship model is described by a third order nonlinear model whose parameters are unknown. The control design uses estimate values of the unknown parameters of the system. Then, adaptive laws of the estimation of these values have been proposed. The stability of the controlled system has been ensured by the use of a Lyapunov function. Simulation results show the effectiveness of the proposed approach and the designed controller can be used to the ship course tracking with good performances.",2010,"2010 7th International Multi- Conference on Systems, Signals and Devices","10.1109/SSD.2010.5585599",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:7375666",21356
"201989593","Nonlytic exocytosis of Cryptococcus neoformans from neutrophils in the brain vasculature","Background ::: Cryptococcus neoformans (C. neoformans) is an encapsulated budding yeast that causes life-threatening meningoencephalitis in immunocompromised individuals, especially those with acquired immunodeficiency syndrome (AIDS). To cause meningoencephalitis, C. neoformans circulating in the bloodstream must first be arrested in the brain microvasculature. Neutrophils, the most abundant phagocytes in the bloodstream and the first leukocytes to be recruited to an infection site, can ingest C. neoformans. Little is known about how neutrophils interact with arrested fungal cells in the brain microvasculature.",2019,"Cell Communication and Signaling","10.1186/s12964-019-0429-0",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:201989593",21356
"208497284","Antennal transcriptome analyses and olfactory protein identification in an important wood-boring moth pest, Streltzoviella insularis (Lepidoptera: Cossidae)","Olfaction plays key roles in insect survival and reproduction, such as feeding, courtship, mating, and oviposition. The olfactory-based control strategies have been developed an important means for pest management. Streltzoviella insularis is a destructive insect pest of many street tree species, and characterization of its olfactory proteins could provide targets for the disruption of their odour recognition processes and for urban forestry protection. In this study, we assembled the antennal transcriptome of S. insularis by next-generation sequencing and annotated the main olfactory multi-gene families, including 28 odorant-binding proteins (OBPs), 12 chemosensory proteins (CSPs), 56 odorant receptors (ORs), 11 ionotropic receptors (IRs), two sensory neuron membrane proteins (SNMPs), and 101 odorant-degrading enzymes (ODEs). Sequence and phylogenetic analyses confirmed the characteristics of these proteins. We further detected tissue- and sex-specific expression patterns of OBPs, CSPs and SNMPs by quantitative real time-PCR. Most OBPs were highly and differentially expressed in the antennae of both sexes. SinsCSP10 was expressed more highly in male antennae than in other tissues. Two SNMPs were highly expressed in the antennae, with no significant difference in expression between the sexes. Our results lay a solid foundation for understanding the precise molecular mechanisms underlying S. insularis odour recognition.",2019,"Scientific Reports","10.1038/s41598-019-54455-w",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:208497284",21356
"27248448","Measuring the Deflection of the Cantilever in Atomic Force Microscope with an Optical Pickup System","This paper is to present the development and the verification of a compact optical sensor system for measuring the deflection of the cantilever in a tapping-mode atomic force microscope (AFM). An optical pickup head of commercial digital versatile disc read only memory (DVD-ROM) drive is applied in this sensor system. In order to satisfy the strict measuring requirements of sensibility and reliability, the build-in detection system is replaced with a four-quadrant photodiode of traditional optical-lever technique. In addition, an inertial motor composed by a piezo-actuator is used as the sample approaching mechanism and the scanner in the vertical direction. Thus, the volume of hardware structure is decreased, and the sensing variance due to temperature change will be minimized. The developed AFM system is well functionally verified by measuring a calibration grating with step height 19.5 nm, and the vertical resolution is plusmn 8 nm",2006,"Proceedings of the 45th IEEE Conference on Decision and Control","10.1109/CDC.2006.377088",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:27248448",21356
"60624115","Rocket nozzle flow control using proper orthogonal decomposition","This paper investigates the use of proper orthogonal decomposition-based reduced order computational fluid dynamics models for model-based controller design. An open-loop optimal control problem is posed and solved concerning the regulation of a rocket engine thrust profile. The control synthesis uses a numerical flow field solver as the plant model. Controllers are synthesized using a reduced order model of the flow field generated via proper orthogonal decomposition. A quasi one-dimensional supersonic convergent-divergent nozzle with varying back pressure is used as a model problem. Treating the nozzle flow as one-dimensional, the reduced order model was used to synthesize a controller that controls thrust along an ascent trajectory by varying nozzle throat area and fuel mass flow rate. The effects of reduced order model accuracy on controller performance are quantified.",2001,"Proceedings of the 40th IEEE Conference on Decision and Control (Cat. No.01CH37228)","10.1109/CDC.2001.980913",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:60624115",21356
