"paper_id","title","abstract","year","journal","doi","mag_field_of_study","has_pdf_parse","has_pdf_parsed_abstract","has_pdf_parsed_body_text","s2_url","seed"
"8232205","VACCINATION IN DEVELOPING COUNTRIES : PROBLEMS , CHALLENGES , AND OPPORTUNITIES",NA,NA,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:8232205",21356
"20442177","Preferential integration of marker DNA into the chromosomal fragile site at 3 pl 4 : An approach to cloning fragile sites ( fluorescence in situ hybridization / DNA transfection / pSV 2 Neo / chromosome aberrations )",NA,NA,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:20442177",21356
"17845923","Effect of blocked vision treadmill training on knee joint proprioception of patients with chronic stroke","[Purpose] The purpose of this study was to compare the effect of treadmill training with the eyes closed and eyes open on the joint position sense of chronic stroke patients. [Subjects and Methods] Thirty patients with chronic stroke participated in this study. Patients performed the timed up and go test and were assigned to one of two treadmill training groups with and without visual deprivation. The treadmill gait training for each group lasted 40 minutes, and sessions were held 3 times a week for 4 weeks. The knee joint proprioception was measured using the Biodex System Pro 3 before and after the intervention. [Results] The knee joint proprioception of the treadmill training with blocked vision group showed more significant improvement after the treadmill training sessions than that of the eyes open group. [Conclusion] This study demonstrated that treadmill training with blocked vision may be useful for the proprioceptive sensory rehabilitation of patients with chronic stroke.",2015,"Journal of physical therapy science","10.1589/jpts.27.897",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:17845923",21356
"51771290","AGE-RELATED ANDROGEN DEFICIENCY IN MEN AND A CARDIOVASCULAR DISEASE","Methods and results. The study included 314 patients with cardiovascular disease. Testosterone levels in different clinical situations were as follows: it was noticed that in the absence of sexual complains in patients, normal values of fractional testosterone were observed in 18.2% of cases, marginal values – in 81.8%. The content of the total testosterone in the later case was 2.33+0.2 ng/ml, free testosterone 4.0+0.5 pg/ml. In the presence of complaints of sexual nature, normal testosterone levels were noted in 9.1% of patients, marginal levels in 18.2%, reduced serum testosterone – in 72.7%. In marginal hormonal levels, the average values were as follows: total testosterone - 2.35+0.1 ng/ml, free testosterone 67.9+4.5 pg/ml, in decreased levels: total testosterone – 2.28+0.2 ng/ml, free testosterone -64.1+4.1 pg/ml. Conclusions. Biochemical characteristics of LOH in the presence of a cardiovascular disease is the average level of the total testosterone within the range 2.28 - 2.29 ng/ml, free testosterone – 60.1 - 68.1 pg/ml.",2011,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:51771290",21356
"18361266","Decreased Insulin-Like Growth Factor-I and Its Receptor Expression in the Hippocampus and Somatosensory Cortex of the Aged Mouse","Insulin-like growth factor-I (IGF-I) is a multifunctional polypeptide and has diverse effects on brain functions. In the present study, we compared IGF-I and IGF-I receptor (IGF-IR) immunoreactivity and their protein levels between the adult (postnatal month 6) and aged (postnatal month 24) mouse hippocampus and somatosensory cortex. In the adult hippocampus, IGF-I immunoreactivity was easily observed in the pyramidal cells of the stratum pyramidale in the hippocampus proper and in the granule cells of the granule cell layer of the dentate gyrus. In the adult somatosensory cortex, IGF-I immunoreactivity was easily found in the pyramidal cells of layer V. In the aged groups, IGF-I expression was dramatically decreased in the cells. Like the change of IGF-I immunoreactivity, IGF-IR immunoreactivity in the pyramidal and granule cells of the hippocampus and in the pyramidal cells of the somatosensory cortex was also markedly decreased in the aged group. In addition, both IGF-I and IGF-IR protein levels were significantly decreased in the aged hippocampus and somatosensory cortex. These results indicate that the apparent decrease of IGF-I and IGF-IR expression in the aged mouse hippocampus and somatosensory cortex may be related to age-related changes in the aged brain.",2014,"Neurochemical Research","10.1007/s11064-014-1269-3",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:18361266",21356
"14965523","V4334 Sgr (Sakurai’s Nova): The Distance Problem",NA,2001,NA,NA,,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:14965523",21356
"153960024","Principles for sustainability: the need to shift to a sustainable conventional regime","This paper argues that the present dominant economic system rests upon unquestioned beliefs that are in a deep contradiction with the pursuit of sustainable development. The economics of conventions is used as an analytical framework through which to demonstrate the conflict between the dominant conventions underpinning societal development and the objectives of sustainable development. It suggests that a trajectory towards the objectives of sustainable development should be managed through a reflexion concerning the conventional principles required to be adopted in order to favour the emergence of a new conventional regime. The principles of proximity, the increase in individual and collective capabilities, and participative democracy are presented as possible principles that could be adopted in order to favour the emergence of a new conventional regime.",2014,"Environment, Development and Sustainability","10.1007/s10668-014-9539-4",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:153960024",21356
"10810858","Glires (Mammalia) from the Late Paleocene Bayan Ulan Locality of Inner Mongolia","Abstract Two new early diverging members of Glires, Eomylus bayanulanensis, n.sp. and Palaeomylus lii, n.gen. and n.sp., are described from the late Paleocene Bayan Ulan Fauna, Inner Mongolia, China. These species add significantly to the diversity of Glires known from the early Paleogene of Asia. E. bayanulanensis and Palaeomylus sp. come from the lowest level of the Bayan Ulan section, from which the classic Bayan Ulan Fauna was collected. Palaeomylus lii and specimens belonging to two other genera of mammals, Pseudictops and Palaeostylops, are found from a horizon about 8 m above strata yielding the Bayan Ulan Fauna. These taxa are tentatively regarded as constituting a distinct faunal assemblage, which may prove to be of biostratigraphic utility within the region. Two calcanea tentatively assigned to Gomphos from a stratigraphic horizon slightly above the bed producing P. lii suggest the presence of strata of Early Eocene age in the Bayan Ulan section.",2005,"American Museum Novitates","10.1206/0003-0082(2005)473[0001:GMFTLP]2.0.CO;2",,TRUE,FALSE,TRUE,"https://api.semanticscholar.org/CorpusID:10810858",21356
"215024654","Is Tolerance Broken in Autoimmunity?",NA,2017,"Clinical Medicine Insights. Pathology",NA,,TRUE,FALSE,TRUE,"https://api.semanticscholar.org/CorpusID:215024654",21356
"141289821","Electric Meters: Victorian Physiological Poetics (review)",NA,2010,"Victorian Studies","10.2979/vic.2010.52.2.322",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:141289821",21356
"163511595","Obituary for Carolyn P. Boyd (1944-2015)",NA,2015,"Bulletin for Spanish and Portuguese Historical Studies","10.26431/0739-182X.1213",,TRUE,FALSE,TRUE,"https://api.semanticscholar.org/CorpusID:163511595",21356
"10628886","The effect of total hip replacement on employment in patients with ankylosing spondylitis","Although total hip replacement (THR) has been proven to be effective, the effect of THR on employment in ankylosing spondylitis (AS) in Chinese population is still unknown. We aimed to demonstrate whether or not patients with AS returned to work following THR and factors associated with the work ability after THR. We performed a retrospective study including a total number of 128 AS patients undergoing THR between 2009 and 2013. Presurgery and postsurgery data including disease state, work status, type of job, and time of resuming work were collected. Factors associated with early return to work were assessed through ordinal regression. Eighty-seven of 128 patients (68 %) were employed within 1 year before THR and 98 returned to work after surgery. Among them, 21, 46, and 31 resumed work by 3, 6, and 12 months postoperation, respectively. Multivariate ordinal regression showed that patients with unilateral THR, younger age, lower BASFI score, employed presurgery, and low or moderate physical demand were more likely to resume work earlier. Most individuals working presurgery returned to work after THR. For young AS patients with hip involvement, THR is an effective treatment for improving and maintaining work ability.",2016,"Clinical Rheumatology","10.1007/s10067-016-3431-6",,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:10628886",21356
"26558199","- 1-GAPDH Aggregate Formation Participates in Oxidative Stress-induced Cell Death",NA,NA,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:26558199",21356
"18102831","Outcome and Attributable Mortality in Critically Ill Patients With Bacteremia Involving Methicillin-Susceptible and Methicillin-Resistant Staphylococcus aureus","BACKGROUND ::: Staphylococcus aureus bacteremia carries high mortality rates. The clinical impact of methicillin resistance remains controversial: outcome comparisons between patients with bacteremia involving methicillin-susceptible (MSSA) and methicillin-resistant (MRSA) S aureus are difficult to perform because of important differences in severity of illness. ::: ::: ::: METHODS ::: A retrospective cohort analysis and 2 independent case-control analyses were performed to determine and compare outcomes and attributable mortality rates of MSSA (n = 38) and MRSA bacteremia (n = 47) in critically ill patients. For the case-control studies, matching (1:2 ratio) was based on the APACHE (Acute Physiology and Chronic Health Evaluation) II classification: APACHE II score (+/-1 point) and diagnostic category. ::: ::: ::: RESULTS ::: Patients with MRSA bacteremia had more acute renal failure and hemodynamic instability than patients with MSSA bacteremia. They had a longer intensive care unit stay and ventilator dependency. Patients with MRSA bacteremia had a higher 30-day mortality rate (53.2% vs 18.4%) and in-hospital mortality rate (63.8% vs 23.7%) (P<.05). Multivariate survival analysis demonstrated acute renal failure, length of mechanical ventilation, age, and methicillin resistance to be independently associated with mortality (P<.05). The attributable mortality rate for MSSA bacteremia was 1.3%: mortality rates for cases and controls were respectively 23.7% and 22.4% (P =.94). The attributable mortality rate for MRSA bacteremia was 23.4%: mortality rates for cases and controls were respectively 63.8% and 40.4% (P =.02). The difference (22.1%) between both attributable mortality rates was significant (95% confidence interval, 8.8%-35.3%). ::: ::: ::: CONCLUSION ::: In critically ill patients, after accurate adjustment for disease severity and acute illness, we found MRSA bacteremia to have a higher attributable mortality than MSSA bacteremia.",2002,"Archives of internal medicine","10.1001/archinte.162.19.2229",,TRUE,FALSE,TRUE,"https://api.semanticscholar.org/CorpusID:18102831",21356
"59159673","Open data exploration in virtual reality: a comparative study of input technology","In this article, we compare three different input technologies (gamepad, vision-based motion controls, room-scale) for an interactive virtual reality (VR) environment. The overall system is able to visualize (open) data from multiple online sources in a unified interface, enabling the user to browse and explore displayed information in an immersive VR setting. We conducted a user interaction study (\(n=24\); \(n=8\) per input technology, between-group design) to investigate experienced workload and perceived flow of interaction. Log files and observations allowed further insights and comparison of each condition. We have identified trends that indicate user preference of a visual (virtual) representation, but no clear trends regarding the application of physical controllers (over vision-based controls), in a scenario that encouraged exploration with no time limitations.",2019,"Virtual Reality","10.1007/s10055-019-00378-w",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:59159673",21356
"210168586","Association between NMD3 and symptoms of Parkinson’s disease in Chinese patients","BACKGROUND ::: Parkinson's disease (PD) is a progressive neurodegenerative movement disorder that is characterized by motor symptoms such as tremor, rigidity, slowness of movement and problems with gait. Large-scale meta-analyses of genome-wide association studies (GWAS) have identified few susceptibility loci in patients with sporadic PD. The aim of this study was to investigate the association between NMD3 single nucleotide polymorphism (SNP) and symptoms in PD patients in South China. ::: ::: ::: METHODS ::: A total of 217 PD patients were recruited in this study and genotyped by using the SNaPshot technique and the polymerase chain reaction. All subjects were evaluated by the Mini-Mental State Examination (MMSE), Beijing version Montreal Cognitive Assessment (MoCA), Sniffin' Sticks 16 (SS-16), Hamilton Anxiety Rating Scale, Hamilton Depression Rating Scale, 39-item Parkinson's Disease Questionnaire (PDQ-39) and MDS Unified PD Rating Scale (MDS-UPDRS). ::: ::: ::: RESULTS ::: NMD3 rs34016896 (C > T) carriers have worse cognitive function than wild types (MMSE: p = 0.042, NMD3 wild type: 27.44 ± 2.89, NMD3 carriers: 26.31 ± 3.79; MoCA: p = 0.005, NMD3 wild type: 23.15 ± 4.20, NMD3 carriers: 20.75 ± 6.68). ::: ::: ::: CONCLUSIONS ::: The recessive and overdominant model of NMD3 rs34016896 was associated with cognitive impairment in PD patients.",2020,"BMC Neurology","10.1186/s12883-019-1574-1",,TRUE,TRUE,TRUE,"https://api.semanticscholar.org/CorpusID:210168586",21356
"67722599","STRATEGIES APPLIED IN THE TRANSLATION OF BUTIR – BUTIR BUDAYA JAWA INTO ENGLISH","This research is entitled Translation strategies applied in the translation of “Butir – Butir Budaya Jawa” (BBBJ) translated into English. This study is aimed at finding out the translation strategies found in every sentence of that book, and which strategy is dominant in the translation of BBBJ into English. This research is a qualitative one, as the data in this research are words were analyzed by using four steps : analyzing every sentence of each data, grouping the analysis of data in a table, identifying the change of the style of the original text in the translation strategies translation, and providing description and arguments of the result of the data analysis. From the analysis it can be seen that the translation strategies used in Butir – Butir Budaya Jawa are translation by a more general word (45%), translation by cultural substitution (23%), translation by paraphrase using a related word (12%), translation by paraphrase using unrelated word (12%), translation by illustration (5%), translation by using a loan word (1%) and translation by omission (1%). From the finding above, the dominant translation strategy is translation by a more general word (45%). This strategy is applied for the sake of the readability in the target readers and also used if the translator cannot find specific term. Translation using a loan word is used in translating unfamiliar words.Translation by cultural substitution is used if the translator often cannot find the right equivalent between words of one language and the words of another. Translation by omission is used if it is suitable to use technique by omission only when all else has failed. Translation by illustration is used this is a useful option in the word which lacks an equivalent in the target language refers to a physical entity which can be illustrated.",2016,NA,NA,,TRUE,FALSE,FALSE,"https://api.semanticscholar.org/CorpusID:67722599",21356
